x0000,y0000
-3,0,
-2.998221695,112.5,
-2.996443391,0,
-2.994665086,0,
-2.992886781,0,
-2.991108477,112.5,
-2.989330172,56.25,
-2.987551867,225,
-2.985773563,56.25,
-2.983995258,112.5,
-2.982216953,112.5,
-2.980438648,112.5,
-2.978660344,112.5,
-2.976882039,168.75,
-2.975103734,168.75,
-2.97332543,112.5,
-2.971547125,56.25,
-2.96976882,0,
-2.967990516,112.5,
-2.966212211,168.75,
-2.964433906,225,
-2.962655602,168.75,
-2.960877297,225,
-2.959098992,56.25,
-2.957320688,0,
-2.955542383,112.5,
-2.953764078,0,
-2.951985774,56.25,
-2.950207469,56.25,
-2.948429164,56.25,
-2.94665086,168.75,
-2.944872555,56.25,
-2.94309425,168.75,
-2.941315945,112.5,
-2.939537641,112.5,
-2.937759336,0,
-2.935981031,0,
-2.934202727,56.25,
-2.932424422,112.5,
-2.930646117,56.25,
-2.928867813,56.25,
-2.927089508,0,
-2.925311203,112.5,
-2.923532899,112.5,
-2.921754594,56.25,
-2.919976289,225,
-2.918197985,56.25,
-2.91641968,56.25,
-2.914641375,0,
-2.912863071,0,
-2.911084766,0,
-2.909306461,0,
-2.907528156,112.5,
-2.905749852,56.25,
-2.903971547,56.25,
-2.902193242,0,
-2.900414938,56.25,
-2.898636633,56.25,
-2.896858328,56.25,
-2.895080024,56.25,
-2.893301719,56.25,
-2.891523414,56.25,
-2.88974511,0,
-2.887966805,56.25,
-2.8861885,0,
-2.884410196,56.25,
-2.882631891,0,
-2.880853586,0,
-2.879075282,168.75,
-2.877296977,337.5,
-2.875518672,56.25,
-2.873740368,56.25,
-2.871962063,225,
-2.870183758,0,
-2.868405453,56.25,
-2.866627149,0,
-2.864848844,168.75,
-2.863070539,112.5,
-2.861292235,56.25,
-2.85951393,56.25,
-2.857735625,168.75,
-2.855957321,56.25,
-2.854179016,56.25,
-2.852400711,0,
-2.850622407,56.25,
-2.848844102,112.5,
-2.847065797,0,
-2.845287493,56.25,
-2.843509188,0,
-2.841730883,56.25,
-2.839952579,168.75,
-2.838174274,0,
-2.836395969,0,
-2.834617664,56.25,
-2.83283936,56.25,
-2.831061055,112.5,
-2.82928275,0,
-2.827504446,112.5,
-2.825726141,0,
-2.823947836,112.5,
-2.822169532,0,
-2.820391227,56.25,
-2.818612922,56.25,
-2.816834618,56.25,
-2.815056313,112.5,
-2.813278008,112.5,
-2.811499704,56.25,
-2.809721399,112.5,
-2.807943094,56.25,
-2.80616479,56.25,
-2.804386485,225,
-2.80260818,112.5,
-2.800829876,0,
-2.799051571,0,
-2.797273266,0,
-2.795494961,0,
-2.793716657,112.5,
-2.791938352,0,
-2.790160047,112.5,
-2.788381743,0,
-2.786603438,56.25,
-2.784825133,56.25,
-2.783046829,56.25,
-2.781268524,56.25,
-2.779490219,56.25,
-2.777711915,168.75,
-2.77593361,112.5,
-2.774155305,0,
-2.772377001,112.5,
-2.770598696,56.25,
-2.768820391,0,
-2.767042087,56.25,
-2.765263782,0,
-2.763485477,56.25,
-2.761707172,56.25,
-2.759928868,56.25,
-2.758150563,112.5,
-2.756372258,112.5,
-2.754593954,0,
-2.752815649,0,
-2.751037344,0,
-2.74925904,0,
-2.747480735,0,
-2.74570243,168.75,
-2.743924126,56.25,
-2.742145821,56.25,
-2.740367516,0,
-2.738589212,56.25,
-2.736810907,168.75,
-2.735032602,56.25,
-2.733254298,0,
-2.731475993,56.25,
-2.729697688,56.25,
-2.727919384,0,
-2.726141079,56.25,
-2.724362774,56.25,
-2.722584469,56.25,
-2.720806165,0,
-2.71902786,0,
-2.717249555,0,
-2.715471251,225,
-2.713692946,0,
-2.711914641,56.25,
-2.710136337,168.75,
-2.708358032,56.25,
-2.706579727,56.25,
-2.704801423,0,
-2.703023118,112.5,
-2.701244813,0,
-2.699466509,0,
-2.697688204,112.5,
-2.695909899,0,
-2.694131595,56.25,
-2.69235329,112.5,
-2.690574985,0,
-2.68879668,0,
-2.687018376,0,
-2.685240071,56.25,
-2.683461766,112.5,
-2.681683462,0,
-2.679905157,0,
-2.678126852,168.75,
-2.676348548,56.25,
-2.674570243,0,
-2.672791938,56.25,
-2.671013634,112.5,
-2.669235329,112.5,
-2.667457024,56.25,
-2.66567872,0,
-2.663900415,112.5,
-2.66212211,56.25,
-2.660343806,112.5,
-2.658565501,56.25,
-2.656787196,56.25,
-2.655008892,56.25,
-2.653230587,0,
-2.651452282,112.5,
-2.649673977,56.25,
-2.647895673,112.5,
-2.646117368,112.5,
-2.644339063,56.25,
-2.642560759,56.25,
-2.640782454,56.25,
-2.639004149,0,
-2.637225845,0,
-2.63544754,56.25,
-2.633669235,56.25,
-2.631890931,56.25,
-2.630112626,0,
-2.628334321,0,
-2.626556017,112.5,
-2.624777712,168.75,
-2.622999407,56.25,
-2.621221103,56.25,
-2.619442798,168.75,
-2.617664493,56.25,
-2.615886189,0,
-2.614107884,56.25,
-2.612329579,56.25,
-2.610551274,56.25,
-2.60877297,56.25,
-2.606994665,112.5,
-2.60521636,112.5,
-2.603438056,0,
-2.601659751,0,
-2.599881446,56.25,
-2.598103142,56.25,
-2.596324837,0,
-2.594546532,112.5,
-2.592768228,0,
-2.590989923,0,
-2.589211618,56.25,
-2.587433314,56.25,
-2.585655009,56.25,
-2.583876704,112.5,
-2.5820984,0,
-2.580320095,0,
-2.57854179,56.25,
-2.576763485,168.75,
-2.574985181,0,
-2.573206876,56.25,
-2.571428571,56.25,
-2.569650267,0,
-2.567871962,168.75,
-2.566093657,0,
-2.564315353,56.25,
-2.562537048,0,
-2.560758743,112.5,
-2.558980439,56.25,
-2.557202134,0,
-2.555423829,56.25,
-2.553645525,0,
-2.55186722,0,
-2.550088915,0,
-2.548310611,112.5,
-2.546532306,112.5,
-2.544754001,56.25,
-2.542975697,0,
-2.541197392,56.25,
-2.539419087,0,
-2.537640782,112.5,
-2.535862478,56.25,
-2.534084173,168.75,
-2.532305868,0,
-2.530527564,0,
-2.528749259,56.25,
-2.526970954,112.5,
-2.52519265,56.25,
-2.523414345,56.25,
-2.52163604,112.5,
-2.519857736,56.25,
-2.518079431,168.75,
-2.516301126,112.5,
-2.514522822,0,
-2.512744517,56.25,
-2.510966212,56.25,
-2.509187908,56.25,
-2.507409603,0,
-2.505631298,168.75,
-2.503852993,0,
-2.502074689,0,
-2.500296384,112.5,
-2.498518079,0,
-2.496739775,0,
-2.49496147,0,
-2.493183165,0,
-2.491404861,0,
-2.489626556,56.25,
-2.487848251,0,
-2.486069947,56.25,
-2.484291642,112.5,
-2.482513337,0,
-2.480735033,0,
-2.478956728,225,
-2.477178423,56.25,
-2.475400119,0,
-2.473621814,0,
-2.471843509,56.25,
-2.470065205,56.25,
-2.4682869,112.5,
-2.466508595,56.25,
-2.46473029,112.5,
-2.462951986,112.5,
-2.461173681,112.5,
-2.459395376,168.75,
-2.457617072,0,
-2.455838767,0,
-2.454060462,112.5,
