amp0    transition  omega   date
0.01    0   0.2     2021-01-15 12:25:49.897000
0.2575  0   5.0332875579753455  2021-01-15  12:25:49.937000
0.505   0   9.31364114394561    2021-01-15  12:25:49.976000
0.7525  0   13.552456595260834  2021-01-15  12:25:50.002000
1.0     0   17.354903221892382  2021-01-15  12:25:50.020000
0.01    1   0.017               2021-01-15  12:25:50.053000
0.2575  1   0.43270104229974987 2021-01-15  12:25:50.567000
0.505   1   4.938881870516225   2021-01-15  12:25:50.590000
0.7525  1   6.739697916963677   2021-01-15  12:25:50.609000
1.0     1   8.153209798711407   2021-01-15  12:25:50.642000
