amp0	transition	omega	date
0.000000	0	0.0	2018-05-03 15:57:50
0.157715	0	0.46572	2018-05-03 16:05:02
0.210449	0	0.618374	2018-05-03 16:10:36
0.263184	0	0.780818	2018-05-03 16:15:23
0.315918	0	0.949332	2018-05-03 16:19:48
0.368652	0	1.117149	2018-05-03 16:23:40
0.420898	0	1.274095	2018-05-03 16:27:21
0.473633	0	1.432026	2018-05-03 16:30:35
0.526367	0	1.560104	2018-05-03 16:33:41
0.579102	0	1.685812	2018-05-03 16:36:42
0.631348	0	1.794081	2018-05-03 16:39:39
0.684082	0	1.894867	2018-05-03 16:42:32
0.736816	0	1.97001	2018-05-03 16:45:20
0.789551	0	2.016463	2018-05-03 16:48:05
0.842285	0	2.084467	2018-05-03 16:50:33
0.894531	0	2.129616	2018-05-03 16:52:57
0.947266	0	2.087503	2018-05-03 16:55:18
1.000000	0	2.149533	2018-05-03 16:57:37
