amp0	transition	omega	date
0.000000	0	0.0	2018-06-02 10:10:55
0.049805	0	1.149789	2018-06-02 10:15:44
0.100098	0	2.317773	2018-06-02 10:18:52
0.149902	0	3.478582	2018-06-02 10:21:26
0.200195	0	4.64864	2018-06-02 10:23:51
0.250000	0	5.818773	2018-06-02 10:26:13
0.299805	0	7.010003	2018-06-02 10:28:34
0.350098	0	8.218989	2018-06-02 10:30:52
0.399902	0	9.425261	2018-06-02 10:33:08
0.450195	0	10.634525	2018-06-02 10:35:04
0.500000	0	11.787748	2018-06-02 10:37:00
0.549805	0	12.896947	2018-06-02 10:38:55
0.600098	0	13.968704	2018-06-02 10:40:49
0.649902	0	15.008168	2018-06-02 10:42:42
0.700195	0	16.029252	2018-06-02 10:44:34
0.750000	0	17.023373	2018-06-02 10:46:28
0.799805	0	17.992499	2018-06-02 10:48:22
0.850098	0	18.880012	2018-06-02 10:50:15
0.899902	0	19.679906	2018-06-02 10:52:08
0.950195	0	20.378688	2018-06-02 10:54:05
1.000000	0	20.378688	2018-06-02 10:55:55
