amp0	transition	omega	date
0.000000	0	0.000000	2016-08-31 16:52:26
0.050049	0	0.001555	2016-08-31 17:02:04
0.100098	0	0.003109	2016-08-31 17:11:27
0.149902	0	0.004651	2016-08-31 17:20:42
0.199951	0	0.006239	2016-08-31 17:29:59
0.399902	0	0.012398	2016-08-31 17:39:09
0.600098	0	0.018262	2016-08-31 17:48:19
0.699951	0	0.020696	2016-08-31 17:57:27
0.800049	0	0.022378	2016-08-31 18:06:36
0.850098	0	0.022874	2016-08-31 18:15:46
0.899902	0	0.023457	2016-08-31 18:24:55
0.949951	0	0.023913	2016-08-31 18:34:05
1.000000	0	0.024234	2016-08-31 18:43:12
