amp0	transition	omega	date
0.000000	0	0.000000	1970-01-01 00:00:00
0.050049	0	0.001602	1970-01-01 00:00:00
0.100098	0	0.003154	1970-01-01 00:00:00
0.149902	0	0.004810	1970-01-01 00:00:00
0.199951	0	0.006434	1970-01-01 00:00:00
0.250000	0	0.007389	1970-01-01 00:00:00
0.300049	0	0.008868	1970-01-01 00:00:00
0.350098	0	0.010347	1970-01-01 00:00:00
0.399902	0	0.011819	1970-01-01 00:00:00
0.449951	0	0.013298	1970-01-01 00:00:00
0.500000	0	0.014777	1970-01-01 00:00:00
0.550049	0	0.016256	1970-01-01 00:00:00
0.600098	0	0.017735	1970-01-01 00:00:00
0.649902	0	0.019207	1970-01-01 00:00:00
0.699951	0	0.021211	1970-01-01 00:00:00
0.800049	0	0.023066	1970-01-01 00:00:00
0.899902	0	0.024128	1970-01-01 00:00:00
1.000000	0	0.025357	1970-01-01 00:00:00
