amp0	transition	omega	date
0.000000	0	0.0	2017-09-18 15:06:32
0.024902	0	0.979477	2017-09-18 15:09:52
0.049805	0	1.969832	2017-09-18 15:11:44
0.100098	0	4.5679	2017-09-18 15:13:08
0.200195	0	8.056974	2017-09-18 15:14:22
0.299805	0	12.160432	2017-09-18 15:15:33
0.399902	0	15.921372	2017-09-18 15:16:42
0.500000	0	19.426609	2017-09-18 15:17:50
0.600098	0	22.183825	2017-09-18 15:18:59
0.700195	0	24.010792	2017-09-18 15:20:07
0.799805	0	25.154915	2017-09-18 15:21:14
0.899902	0	25.878537	2017-09-18 15:22:20
1.000000	0	26.408799	2017-09-18 15:23:27
