transition	amp0	omega	date
0	0.000000	0.0	2018-05-29 08:31:59
0	0.049805	0.535434	2018-05-29 08:41:37
0	0.100098	1.071287	2018-05-29 08:47:25
0	0.149902	1.602963	2018-05-29 08:51:44
0	0.200195	2.187679	2018-05-29 08:55:24
0	0.250000	2.720457	2018-05-29 08:58:36
0	0.299805	3.258531	2018-05-29 09:01:41
0	0.350098	3.746836	2018-05-29 09:04:37
0	0.399902	4.358868	2018-05-29 09:07:31
0	0.450195	4.894359	2018-05-29 09:10:04
0	0.500000	5.513942	2018-05-29 09:12:32
0	0.549805	6.107807	2018-05-29 09:14:58
0	0.600098	6.648366	2018-05-29 09:17:25
0	0.649902	7.128206	2018-05-29 09:19:49
0	0.700195	7.647946	2018-05-29 09:22:12
0	0.750000	8.215001	2018-05-29 09:24:32
0	0.799805	8.795727	2018-05-29 09:26:52
0	0.850098	9.368846	2018-05-29 09:29:11
0	0.899902	9.935736	2018-05-29 09:31:29
0	0.950195	10.502295	2018-05-29 09:33:46
0	1.000000	11.026185	2018-05-29 09:36:02
