amp0	transition	omega	date
0.000000	0	0.0	2018-05-02 13:42:39
0.157715	0	3.473227	2018-05-02 13:42:39
0.210449	0	4.634994	2018-05-02 13:42:39
0.263184	0	5.794302	2018-05-02 13:42:39
0.315918	0	6.956522	2018-05-02 13:42:39
0.368652	0	8.11908	2018-05-02 13:42:39
0.420898	0	9.266409	2018-05-02 13:42:39
0.473633	0	10.425717	2018-05-02 13:42:39
0.526367	0	11.594203	2018-05-02 13:42:39
0.579102	0	12.752391	2018-05-02 13:42:39
0.631348	0	13.904983	2018-05-02 13:42:39
0.684082	0	15.056462	2018-05-02 13:42:39
0.736816	0	16.216216	2018-05-02 13:42:39
0.789551	0	17.391304	2018-05-02 13:42:39
0.842285	0	18.547141	2018-05-02 13:42:39
0.894531	0	19.704433	2018-05-02 13:42:40
0.947266	0	20.869565	2018-05-02 13:42:40
1.000000	0	22.018349	2018-05-02 13:42:40
