amp0	transition	omega	date
0.000000	0	0.0	2018-01-05 12:01:58
0.153809	0	0.587364	2018-01-05 12:08:11
0.179688	0	0.686026	2018-01-05 12:13:36
0.205078	0	0.784874	2018-01-05 12:18:45
0.230957	0	0.889516	2018-01-05 12:23:13
0.256348	0	0.990516	2018-01-05 12:27:33
0.282227	0	1.093315	2018-01-05 12:31:17
0.307617	0	1.193768	2018-01-05 12:34:55
0.333496	0	1.296519	2018-01-05 12:38:26
0.358887	0	1.400512	2018-01-05 12:41:53
0.384766	0	1.509954	2018-01-05 12:45:17
0.410156	0	1.614225	2018-01-05 12:48:09
0.436035	0	1.712286	2018-01-05 12:50:59
0.461426	0	1.805171	2018-01-05 12:53:44
0.487305	0	1.902389	2018-01-05 12:56:28
0.512695	0	1.989606	2018-01-05 12:59:09
0.538574	0	2.075929	2018-01-05 13:01:55
0.563965	0	2.149229	2018-01-05 13:04:35
0.589844	0	2.22136	2018-01-05 13:07:13
0.615234	0	2.298419	2018-01-05 13:09:53
0.641113	0	2.369669	2018-01-05 13:12:29
0.666504	0	2.433623	2018-01-05 13:15:04
0.692383	0	2.487343	2018-01-05 13:17:37
0.717773	0	2.540838	2018-01-05 13:20:11
0.743652	0	2.589463	2018-01-05 13:22:45
0.769043	0	2.628341	2018-01-05 13:25:16
0.794922	0	2.679457	2018-01-05 13:27:47
0.820312	0	2.718786	2018-01-05 13:30:19
0.846191	0	2.755098	2018-01-05 13:32:50
0.871582	0	2.80049	2018-01-05 13:35:23
0.897461	0	2.842737	2018-01-05 13:37:52
0.922852	0	2.866567	2018-01-05 13:40:22
0.948730	0	2.897999	2018-01-05 13:42:52
0.974121	0	2.909187	2018-01-05 13:45:21
1.000000	0	2.922801	2018-01-05 13:47:51
