amp0	transition	omega	date
0.000000	0	0.000000	2016-07-06 14:06:34
0.050049	0	0.399100	2016-07-06 14:10:51
0.100098	0	0.769738	2016-07-06 14:13:28
0.149902	0	1.125971	2016-07-06 14:15:32
0.199951	0	1.499435	2016-07-06 14:17:19
0.250000	0	1.853047	2016-07-06 14:18:57
0.300049	0	2.202327	2016-07-06 14:20:28
0.399902	0	2.915521	2016-07-06 14:21:50
0.500000	0	3.626177	2016-07-06 14:23:07
0.600098	0	4.370509	2016-07-06 14:24:22
0.699951	0	5.110630	2016-07-06 14:25:34
0.800049	0	5.715586	2016-07-06 14:26:44
0.899902	0	6.405590	2016-07-06 14:27:53
1.000000	0	7.144237	2016-07-06 14:29:01
