amp0	transition	omega	date
0.000000	0	0.000000	2017-01-27 17:56:25
0.024902	0	1.008069	1970-01-01 00:00:00
0.050049	0	2.049364	1970-01-01 00:00:00
0.100098	0	4.115210	1970-01-01 00:00:00
0.199951	0	8.338253	1970-01-01 00:00:00
0.300049	0	12.646765	1970-01-01 00:00:00
0.399902	0	16.608872	1970-01-01 00:00:00
0.500000	0	20.226756	1970-01-01 00:00:00
0.600098	0	23.246360	1970-01-01 00:00:00
0.699951	0	25.288629	1970-01-01 00:00:00
0.800049	0	26.537674	1970-01-01 00:00:00
0.899902	0	27.371680	1970-01-01 00:00:00
1.000000	0	27.944080	1970-01-01 00:00:00
